#hg18.kgXref.kgID	hg18.kgXref.geneSymbol	hg18.knownToLocusLink.value
uc001aol.1	VAMP3	9341
uc001aom.1	VAMP3	9341
uc001aoo.1	PER3	8863
uc001aop.1	PER3	8863
uc009vmg.1	PER3	8863
uc009vmh.1	PER3	8863
uc001aon.2	PER3	8863
uc001aou.2	PARK7	11315
uc001aox.2	PARK7	11315
uc001aov.2	dj-1	11315
uc001aow.2	PARK7	11315
uc001aoy.1	AX747125	11315
uc001apb.1	SLC45A1	50651
uc001apc.1	SLC45A1	50651
uc001apm.1	CA6	765
uc009vmn.1	CA6	765
uc001apt.1	H6PD	9563
uc001apu.1	SPSB1	80176
uc001apv.1	SPSB1	80176
uc001apw.1	SLC25A33	84275
uc001apx.1	SLC25A33	84275
uc001apy.1	TMEM201	199953
uc001apz.1	RP13-15M17.2	199953
uc001aqb.2	PIK3CD	5293
uc001aqe.2	PIK3CD	5293
uc001aqa.2	PIK3CD	5293
uc001aqp.1	NMNAT1	64802
uc001aqq.1	RBP7	116362
uc009vms.1	RBP7	116362
uc001aqs.2	UBE4B	10277
uc001aqr.2	UBE4B	10277
uc001aqt.1	KIAA0684	10277
uc001aqu.1	KIAA0684	10277
uc001aqw.2	KIF1B	23095
uc001aqv.2	KIF1B	23095
uc001aqy.2	KIF1B	23095
uc001aqz.2	KIF1B	23095
uc001ara.2	KIF1B	23095
uc001aqx.2	KIF1B	23095
uc001arb.2	KIF1B	23095
uc009vmt.1	KIAA0591	23095
uc001arc.1	PGD	5226
uc001ard.1	PGD	5226
uc001arf.1	APITD1	378708
uc001are.1	APITD1	378708
uc001arh.1	APITD1	378708
uc001ari.1	CORT	1325
uc001arg.1	Cort	378708
uc001arn.1	PEX14	5195
uc009vmv.1	Pex14	5195
uc009vmw.1	PEX14	5195
uc009vmu.1	Pex14	5195
uc001arm.1	Pex14	5195
uc001arl.2	Pex14	5195
uc001art.1	TARDBP	23435
uc001ase.1	ANGPTL7	10218
uc001asf.1	UBIAD1	29914
uc001asg.1	AY044167	29914
uc001ash.2	PTCHD2	57540
uc001asi.1	PTCHD2	57540
uc009vmz.1	KIAA1337	57540
uc001asl.1	FBXO44	93611
uc001asm.1	FBXO44	93611
uc001asn.1	FBXO44	93611
uc001ask.1	FBXO44	93611
uc001aso.1	FBXO6	26270
uc001asr.1	C1orf187	374946
uc001ass.1	AK125437	n/a
uc001asu.1	AGTRAP	57085
uc001ast.1	AGTRAP	57085
uc001asw.1	AGTRAP	57085
uc001asv.1	AGTRAP	57085
uc001asx.1	AGTRAP	57085
uc001asy.1	C1orf167	n/a
uc001asz.2	C1orf167	n/a
uc001ata.2	C1orf167	n/a
uc001ate.2	CLCN6	1185
uc009vnh.1	CLCN6	1185
uc009vnf.1	CLCN6	1185
uc009vng.1	CLCN6	1185
uc009vne.1	CLCN6	1185
uc001atm.1	PLOD1	5351
uc001atn.2	MFN2	9927
uc009vni.1	MFN2	9927
uc001ato.1	IIP45	60672
uc009vnj.1	IIP45	60672
uc001atq.1	TNFRSF8	943
uc001atr.1	TNFRSF8	943
uc001ats.1	TNFRSF8	943
uc001att.1	TNFRSF1B	7133
uc001atu.1	TNFRSF1B	7133
uc009vnk.1	TNFRSF1B	7133
uc001atv.1	VPS13D	55187
uc001atw.1	VPS13D	55187
uc001atx.1	VPS13D	55187
uc009vnl.1	KIAA0453	55187
uc001aty.1	KIAA0453	55187
uc001atz.1	SNORA59B	677885
uc001auf.1	AADACL4	343066
uc009vnn.1	AADACL3	126767
uc001aug.1	AADACL3	126767
uc001auh.1	C1orf158	93190
uc001aui.1	PRAMEF12	390999
uc001auj.1	PRAMEF1	65121
uc001aum.1	PRAMEF2	65122
uc001aup.1	PRAMEF8	391002
uc009vnq.1	PRAMEF22	653606
uc001auu.1	PRAMEF6	343068
uc009vnr.1	PRAMEF10	n/a
uc001auw.1	PRAMEF9	343070
uc001aux.1	PRAMEF16	654348
uc009vnv.1	PRAMEF20	645425
uc001auz.2	PRAMEF10	n/a
uc001ava.1	PRAMEF9	343070
uc009vnz.1	PRAMEF17	391004
uc009voa.1	PRAMEF20	645425
uc001avc.1	PDPN	10630
uc001avd.1	PDPN	10630
uc001ave.1	PDPN	10630
uc001avf.1	PDPN	10630
uc009vob.1	PDPN	10630
uc009voc.1	PDPN	10630
uc001avi.1	PRDM2	7799
uc001avh.1	PRDM2	7799
uc001avg.1	PRDM2	7799
uc001avj.1	PRDM2	7799
uc009voe.1	PRDM2	7799
uc009vod.1	PRDM2	7799
uc009vof.1	PRDM2	7799
uc001avk.1	PRDM2	7799
uc001avl.1	AK124197	7799
uc001avm.2	KIAA1026	23254
uc001avo.2	KIAA1026	23254
uc009vog.1	KIAA1026	23254
uc001avq.2	KIAA1026	23254
uc001avp.2	KIAA1026	23254
uc001avr.2	HRIHFB2003	23254
uc001avs.2	KIAA1026	23254
uc001avx.1	TMEM51	55092
uc001avz.2	TMEM51	55092
uc001avy.1	TMEM51	55092
uc001avw.2	TMEM51	55092
uc001awb.2	FHAD1	114827
uc001awd.1	FHAD1	114827
uc001awa.1	FHAD1	114827
uc001awe.1	FHAD1	114827
uc001awg.2	KIAA1937	114827
uc001awf.2	FHAD1	114827
uc001awh.1	EFHD2	79180
uc001awi.1	CTRC	11330
uc001awj.1	CTRC	11330
uc001awk.1	ELA2A	63036
uc001awl.1	ELA2B	51032
uc001aws.1	DNAJC16	23341
uc001awt.1	DNAJC16	23341
uc001awr.1	DNAJC16	23341
uc001awu.2	KIAA0962	23341
uc001awx.1	DDI2	84301
uc001awy.1	RSC1A1	6248
uc009voj.1	DDI2	84301
uc001aww.2	DDI2	84301
uc001awz.1	CR622439	n/a
uc001axa.2	PLEKHM2	23207
uc001axb.1	SLC25A34	284723
uc009vok.1	AL832282	284723
uc001axc.1	TMEM82	388595
uc001axe.1	FBLIM1	54751
uc001axg.1	FBLIM1	54751
uc001axi.1	FBLIM1	54751
uc001axf.1	FBLIM1	54751
uc001axd.1	FBLIM1	54751
uc001axh.1	FBLIM1	54751
uc001axk.1	SPEN	23013
uc001axn.1	C1orf64	149563
uc001axu.1	CLCNKA	1187
uc001axv.1	CLCNKA	1187
uc001axx.2	CLCNKB	1188
uc001axt.1	CLCNKA	1187
uc001axw.2	CLCNKB	1188
uc001axy.2	CLCNKB	1188
uc001aym.2	C1orf144	26099
uc001ayi.2	C1orf144	26099
uc001ayk.2	C1orf144	26099
uc009vop.1	DKFZp566C0424	26099
uc001ayo.1	NECAP2	55707
uc001ayp.2	NECAP2	55707
uc001ayq.1	NECAP2	55707
uc001ayv.1	AX747988	n/a
uc001azl.2	MST1	n/a
uc009vox.1	MST1	n/a
uc001azm.2	MST1	n/a
uc001azk.2	MST1	n/a
uc009vow.1	MST1	n/a
uc001azt.2	CROCC	9696
