#hg38.kgXref.kgID	hg38.kgXref.geneSymbol	hg38.knownToLocusLink.value
uc001aaa.3	DDX11L1	100287102
uc001aab.3	DDX11L1	100287102
uc010nxq.1	DDX11L1	100287102
uc031tlb.1	MIR1302-2	100302278
uc001aal.1	OR4F5	79501
uc031tlc.1	BC032353	n/a
uc031tld.1	DDX11L12	n/a
uc031tlo.1	JB620871	n/a
uc001abb.3	M37726	n/a
uc031tlt.1	FAM87B	400728
uc001abp.2	LINC01128	643837
uc021oem.2	LINC01128	643837
uc009vjn.2	LINC01128	643837
uc009vjo.2	LINC01128	643837
uc031pjk.1	LINC01128	643837
uc031pjj.1	LINC01128	643837
uc001abu.1	AK056486	n/a
uc001abw.1	SAMD11	148398
uc031pjv.1	SAMD11	148398
uc031pkd.1	SAMD11	148398
uc031pkk.1	SAMD11	148398
uc031pkl.1	SAMD11	148398
uc001abx.2	SAMD11	148398
uc031pkm.1	SAMD11	148398
uc031pkn.2	SAMD11	148398
uc031pjo.1	SAMD11	148398
uc031pjp.1	SAMD11	148398
uc031pjq.1	SAMD11	148398
uc031pjr.1	SAMD11	148398
uc031pjs.1	SAMD11	148398
uc031pjt.1	SAMD11	148398
uc031pju.1	SAMD11	148398
uc031pjw.1	SAMD11	148398
uc031pjx.1	SAMD11	148398
uc031pjy.1	SAMD11	148398
uc031pjz.2	SAMD11	148398
uc031pka.1	SAMD11	148398
uc031pkb.1	SAMD11	148398
uc031pjl.1	SAMD11	148398
uc031pkc.1	SAMD11	148398
uc031pke.1	SAMD11	148398
uc031pkf.1	SAMD11	148398
uc031pkg.1	SAMD11	148398
uc031pjm.1	SAMD11	148398
uc031pkh.1	SAMD11	148398
uc031pki.1	SAMD11	148398
uc031tlu.1	SAMD11	148398
uc031pkj.1	SAMD11	148398
uc031pkp.1	SAMD11	148398
uc031pjn.1	SAMD11	148398
uc031pko.1	SAMD11	148398
uc001abv.1	SAMD11	148398
uc001aca.2	KLHL17	339451
uc001acc.2	KLHL17	339451
uc010nyb.1	KLHL17	339451
uc010nya.1	KLHL17	339451
uc001acb.1	KLHL17	339451
uc001acd.3	PLEKHN1	84069
uc001acf.3	PLEKHN1	84069
uc001ace.3	PLEKHN1	84069
uc001acj.4	ISG15	9636
uc031tlw.1	DQ597499	n/a
uc031tlx.1	DQ597498	n/a
uc001ack.2	AGRN	375790
uc009vjs.1	AK310350	n/a
uc001acl.1	BC033949	n/a
uc031tly.1	DQ582994	n/a
uc001acv.3	RP11-465B22.5	254099
uc001acw.2	MIR200B	406984
uc010nye.1	MIR200A	406983
uc010nyf.1	MIR429	554210
uc001acy.2	TTLL10	254173
uc001acz.2	TTLL10	254173
uc010nyg.1	TTLL10	254173
uc001adk.3	B3GALT6	126792
uc001adt.1	SCNN1D	6339
uc001adu.1	SCNN1D	6339
uc001adw.2	SCNN1D	6339
uc001adx.2	SCNN1D	6339
uc001adv.2	SCNN1D	6339
uc001aed.3	PUSL1	126789
uc010nyi.2	PUSL1	126789
uc009vjx.3	PUSL1	126789
uc001aeo.3	GLTPD1	80772
uc010nyk.2	TAS1R3	83756
uc001afm.3	LOC148413	148413
uc009vkd.4	LOC148413	148413
uc010nyp.2	TMEM88B	643965
uc001afr.3	VWA1	64856
uc001afs.3	VWA1	64856
uc001aft.2	ATAD3C	219293
uc001afv.3	ATAD3B	83858
uc001afx.3	ATAD3B	83858
uc021oeq.1	ATAD3B	83858
uc001afw.2	ATAD3B	83858
uc001aga.2	ATAD3A	55210
uc001afz.2	ATAD3A	55210
uc001agb.2	ATAD3A	55210
uc001agc.1	AX747755	n/a
uc031tme.1	L13714	n/a
uc021oer.1	DL490167	n/a
uc001agf.1	AK094692	n/a
uc001agh.3	MIB2	142678
uc001agi.3	MIB2	142678
uc001agg.3	MIB2	142678
uc001agj.3	MIB2	142678
uc001agk.3	MIB2	142678
uc001agm.3	MIB2	142678
uc010nyq.2	MIB2	142678
uc009vkh.3	MIB2	142678
uc001agl.2	MIB2	142678
uc001agn.3	MIB2	142678
uc001ago.3	MIB2	142678
uc001agp.3	MMP23B	8510
uc001agr.3	MMP23B	8510
uc001agq.3	MMP23B	8510
uc009vki.3	MMP23B	8510
uc001ahi.1	MMP23A	8511
uc009vko.1	MMP23A	8511
uc001ahx.3	AK097814	n/a
uc001aih.1	CALML6	163688
uc001aip.2	GABRD	2563
uc001aiq.3	PRKCZ	5590
uc001air.3	PRKCZ	5590
uc010nyw.2	PRKCZ	5590
uc001ais.3	PRKCZ	5590
uc010nyx.2	PRKCZ	5590
uc001ait.3	PRKCZ	5590
uc009vlb.3	PRKCZ	5590
uc001aiu.1	AX747530	n/a
uc001aiz.3	BC018779	n/a
uc001aja.4	SKI	6497
uc001aje.2	RER1	11079
uc001ajf.2	RER1	11079
uc001aji.1	PLCH2	9651
uc001ajk.1	PLCH2	9651
uc009vle.1	PLCH2	9651
uc010nyz.2	PLCH2	9651
uc001ajj.1	PLCH2	9651
uc001ajl.1	PLCH2	9651
uc001ajr.3	TNFRSF14	8764
uc009vlf.1	TNFRSF14	8764
uc001ajt.1	TNFRSF14	8764
uc010nzc.1	TNFRSF14	8764
uc001ajw.2	FAM213B	127281
uc001ajv.2	FAM213B	127281
uc001aju.3	FAM213B	127281
uc010nzd.2	FAM213B	127281
uc010nze.2	FAM213B	127281
uc021oew.1	FAM213B	127281
uc021oex.1	FAM213B	127281
uc010nzf.2	FAM213B	127281
uc001ajx.2	FAM213B	127281
uc031tmx.1	DQ582994	n/a
uc031tmz.1	DQ587130	n/a
uc001ajz.3	ACTRT2	140625
uc001ake.3	PRDM16	63976
uc001akf.3	PRDM16	63976
uc001akc.3	PRDM16	63976
uc009vlh.3	PRDM16	63976
uc021oez.1	MIR4251	100422968
uc001akg.4	ARHGEF16	27237
uc001aki.3	ARHGEF16	27237
uc001akj.3	ARHGEF16	27237
uc010nzh.2	ARHGEF16	27237
uc009vli.1	ARHGEF16	27237
uc001akm.3	TPRG1L	127262
uc009vlj.3	TPRG1L	127262
uc031pkw.1	TPRG1L	127262
uc001akp.3	TP73	7161
uc021ofc.1	TP73	7161
uc021ofd.1	TP73	7161
uc021ofe.1	TP73	7161
uc021off.1	TP73	7161
uc001akr.3	TP73	7161
uc010nzk.2	TP73	7161
uc009vlk.2	TP73	7161
uc021ofb.1	TP73	7161
uc001aks.3	TP73	7161
uc021ofg.1	TP73	7161
uc021ofh.1	TP73	7161
uc021ofi.1	TP73	7161
uc010nzj.2	TP73	7161
uc010nzl.2	TP73	7161
uc009vll.3	TP73	7161
uc031tna.1	DQ592276	n/a
uc031tnb.1	DQ598034	n/a
uc031tnc.1	DQ594609	n/a
