#hg38.kgXref.kgID	hg38.kgXref.geneSymbol	hg38.knownToLocusLink.value
uc001akv.2	CCDC27	148870
uc031pkx.2	SMIM1	388588
uc001akw.5	SMIM1	388588
uc001ale.4	DFFB	1677
uc001alc.4	DFFB	1677
uc010nzn.3	DFFB	1677
uc009vlp.4	DFFB	1677
uc001alb.4	DFFB	1677
uc009vlq.4	DFFB	1677
uc009vlr.4	DFFB	1677
uc001ald.4	DFFB	1677
uc009vlo.2	DFFB	1677
uc009vln.2	DFFB	1677
uc001ala.2	DFFB	1677
uc001alg.3	LINC01134	100133612
uc001alh.4	LINC01134	100133612
uc010nzo.2	LINC01134	100133612
uc001ali.2	RP13-614K11.1	728716
uc031tnd.1	DQ594187	n/a
uc001alj.2	RP5-1166F10.1	284661
uc001alm.1	AJAP1	55966
uc001aln.3	AJAP1	55966
uc001alo.4	BC037321	n/a
uc021ofm.1	MIR4417	100616489
uc031tnj.1	DQ593458	n/a
uc031tnk.1	JC172329	n/a
uc001alv.2	KCNAB2	8514
uc009vlv.2	KCNAB2	8514
uc001alx.2	KCNAB2	8514
uc001alw.2	KCNAB2	8514
uc001aly.2	KCNAB2	8514
uc009vlw.2	KCNAB2	8514
uc001alu.3	KCNAB2	8514
uc001amg.3	RNF207	388591
uc010nzp.1	RNF207	388591
uc001amh.3	RNF207	388591
uc001amf.1	RNF207	388591
uc031tnm.1	LINC00337	148645
uc009vly.2	HES3	390992
uc031tnn.1	DQ596939	n/a
uc001amy.3	ESPN	83715
uc001amz.3	ESPN	83715
uc001ant.3	TAS1R1	80835
uc001anu.3	TAS1R1	80835
uc021ofp.1	TAS1R1	80835
uc009vmc.3	ZBTB48	3104
uc001anx.4	ZBTB48	3104
uc009vmd.3	ZBTB48	3104
uc001any.2	ZBTB48	3104
uc001aob.4	PHF13	148479
uc001aoc.3	THAP3	90326
uc001aoe.2	THAP3	90326
uc001aod.3	THAP3	90326
uc031tnq.1	LOC100505887	100505887
uc031tnp.1	LOC100505887	100505887
uc001aoi.3	CAMTA1	23261
uc021ofq.1	CAMTA1	23261
uc001aoh.3	CAMTA1	23261
uc021ofr.1	CAMTA1	23261
uc001aok.4	CAMTA1	23261
uc001aoj.3	CAMTA1	23261
uc010nzv.1	CAMTA1	23261
uc009vmf.3	CAMTA1	23261
uc001aol.3	VAMP3	9341
uc031tnr.1	PER3	8863
uc009vmh.2	PER3	8863
uc001aop.4	PER3	8863
uc010nzw.3	PER3	8863
uc001aoo.4	PER3	8863
uc001aon.3	PER3	8863
uc031tns.1	JC172329	n/a
uc001aou.4	PARK7	11315
uc001aox.4	PARK7	11315
uc001aov.4	PARK7	11315
uc001aoy.1	AX747125	n/a
uc031tnt.1	HW120467	n/a
uc031tnu.1	JC172250	n/a
uc001apb.3	SLC45A1	50651
uc001apc.3	SLC45A1	50651
uc031tnw.1	DQ586320	n/a
uc021oft.1	ENO1-AS1	100505975
uc031plc.1	CA6	765
uc001apm.4	CA6	765
uc009vmn.4	CA6	765
uc031pld.1	CA6	765
uc021ofu.2	CA6	765
uc001apt.3	H6PD	9563
uc031tny.1	H6PD	9563
uc010oae.2	SPSB1	80176
uc001apv.3	SPSB1	80176
uc001apw.3	SLC25A33	84275
uc021ofy.1	TMEM201	199953
uc001apy.3	TMEM201	199953
uc021ofz.1	TMEM201	199953
uc001aqb.4	PIK3CD	5293
uc021ogb.1	PIK3CD	5293
uc010oaf.2	PIK3CD	5293
uc001aqe.4	PIK3CD	5293
uc001aqa.2	PIK3CD	5293
uc001aqp.3	NMNAT1	64802
uc031toc.1	MIR5697	100847055
uc001aqq.3	RBP7	116362
uc009vms.3	RBP7	116362
uc031toe.1	DQ586451	n/a
uc001aqs.4	UBE4B	10277
uc001aqr.4	UBE4B	10277
uc021ogc.1	UBE4B	10277
uc010oai.2	UBE4B	10277
uc010oaj.2	UBE4B	10277
uc001aqu.3	UBE4B	10277
uc001aqw.4	KIF1B	23095
uc001aqv.4	KIF1B	23095
uc001aqy.3	KIF1B	23095
uc001aqz.3	KIF1B	23095
uc001aqx.4	KIF1B	23095
uc001ara.3	KIF1B	23095
uc001arb.3	KIF1B	23095
uc009vmt.3	KIF1B	23095
uc031tof.1	MIR1273D	100422970
uc031tog.1	RNU6-2	26827
uc001arc.3	PGD	5226
uc010oak.2	PGD	5226
uc031ple.1	APITD1-CORT	100526739
uc001arf.3	APITD1-CORT	100526739
uc021ogd.1	APITD1-CORT	100526739
uc001are.3	APITD1	378708
uc021ogf.1	APITD1-CORT	100526739
uc021ogg.1	APITD1-CORT	100526739
uc001ari.4	CORT	1325
uc001arn.4	PEX14	5195
uc009vmv.4	PEX14	5195
uc010oam.3	PEX14	5195
uc010oan.3	PEX14	5195
uc009vmw.4	PEX14	5195
uc009vmu.1	PEX14	5195
uc001arm.1	PEX14	5195
uc001arl.3	PEX14	5195
uc001art.3	TARDBP	23435
uc010oap.2	TARDBP	23435
uc031plf.1	MTOR-AS1	100873935
uc001ase.4	ANGPTL7	10218
uc031toh.1	JC172092	n/a
uc001asg.3	UBIAD1	29914
uc031toj.1	DQ598327	n/a
uc001ash.4	PTCHD2	57540
uc001asi.1	PTCHD2	57540
uc009vmz.1	PTCHD2	57540
uc031tok.1	U02063	n/a
uc031tol.1	RP1-69M21.2	101929181
uc001asm.3	FBXO44	93611
uc001asl.3	FBXO44	93611
uc001asn.3	FBXO44	93611
uc001ask.3	FBXO44	93611
uc010oar.2	FBXO44	93611
uc010oas.2	FBXO44	93611
uc010oaq.1	FBXO44	93611
uc001aso.3	FBXO6	26270
uc001asr.1	DRAXIN	374946
uc001ass.3	AK125437	n/a
uc001asu.3	AGTRAP	57085
uc001ast.3	AGTRAP	57085
uc001asw.3	AGTRAP	57085
uc001asv.3	AGTRAP	57085
uc001asx.3	AGTRAP	57085
uc001asy.1	C1orf167	n/a
uc001asz.3	C1orf167	n/a
uc001ata.3	C1orf167	n/a
uc010oat.3	CLCN6	1185
uc001ate.5	CLCN6	1185
uc010oau.3	CLCN6	1185
uc009vnh.2	CLCN6	1185
uc009vnf.2	CLCN6	1185
uc009vng.2	CLCN6	1185
uc009vne.2	CLCN6	1185
uc010oba.1	NPPA-AS1	100379251
uc010oav.1	NPPA-AS1	100379251
uc010oay.1	NPPA-AS1	100379251
uc010oax.1	NPPA-AS1	100379251
uc010oaw.1	NPPA-AS1	100379251
uc010oaz.1	NPPA-AS1	100379251
uc031ton.1	RNU5E-1	26829
uc001atm.3	PLOD1	5351
uc010obb.2	PLOD1	5351
uc001atn.4	MFN2	9927
uc009vni.3	MFN2	9927
uc001ato.2	MIIP	60672
uc031top.1	MIR6729	102466982
uc031tor.1	DQ586451	n/a
uc001atq.3	TNFRSF8	943
uc010obc.2	TNFRSF8	943
uc001atr.4	TNFRSF8	943
uc001ats.4	TNFRSF8	943
uc001att.3	TNFRSF1B	7133
uc031tos.1	MIR7846	102465836
uc021ogi.2	MIR4632	100616438
uc001atu.3	TNFRSF1B	7133
uc009vnk.3	TNFRSF1B	7133
uc031tou.1	VPS13D	55187
uc031tov.1	VPS13D	55187
uc031tow.1	VPS13D	55187
uc031toy.1	VPS13D	55187
uc001aty.1	VPS13D	55187
uc031toz.1	VPS13D	55187
uc031tox.1	JC172214	n/a
uc001atz.1	SNORA59B	677882
uc001auf.3	AADACL4	343066
uc031tpe.1	AADACL3	126767
uc031tpf.1	AADACL3	126767
uc001auh.3	C1orf158	93190
uc010obe.1	C1orf158	93190
uc001aui.4	PRAMEF12	390999
uc031tpg.1	PRAMEF1	65121
uc001aum.1	PRAMEF2	65122
uc031tpk.1	DQ591044	n/a
uc031tpl.1	PRAMEF7	441871
uc031tpm.1	PRAMEF7	441871
uc031tpo.1	LOC649330	649330
uc031tpt.1	DQ587361	n/a
uc001auu.1	PRAMEF5	343068
uc031tpx.1	DQ598327	n/a
uc031tpy.1	PRAMEF10	n/a
uc001auw.1	PRAMEF9	343070
uc009vnz.2	PRAMEF17	654348
uc009vnv.1	PRAMEF20	645425
uc001avc.3	PDPN	10630
uc001avd.3	PDPN	10630
uc001ave.3	PDPN	10630
uc001avf.3	PDPN	10630
uc009vob.3	PDPN	10630
uc009voc.3	PDPN	10630
uc031tqe.1	DQ586451	n/a
uc031tqf.1	DQ601422	n/a
uc031tqg.1	JC172208	n/a
uc001avi.3	PRDM2	7799
uc001avh.3	PRDM2	7799
uc001avg.3	PRDM2	7799
uc009voe.3	PRDM2	7799
uc009vof.3	PRDM2	7799
uc021ogk.1	PRDM2	7799
uc001avk.3	PRDM2	7799
uc001avl.1	AK124197	n/a
uc031tqh.1	DQ593458	n/a
uc001avm.4	KAZN	23254
uc001avo.2	KAZN	23254
uc009vog.1	KAZN	23254
uc001avq.2	KAZN	23254
uc001avp.2	KAZN	23254
uc031tqj.1	KAZN	23254
uc001avr.2	KAZN	23254
uc001avs.4	KAZN	23254
uc001avy.3	TMEM51	55092
uc001avw.4	TMEM51	55092
uc001avx.3	TMEM51	55092
uc010obk.2	TMEM51	55092
uc001avz.3	TMEM51	55092
uc001awb.2	FHAD1	114827
uc001awd.1	FHAD1	114827
uc010obl.1	FHAD1	114827
uc001awa.1	FHAD1	114827
uc001awe.1	FHAD1	114827
uc001awg.3	FHAD1	114827
uc001awf.3	FHAD1	114827
uc001awh.2	EFHD2	79180
uc001awi.1	CTRC	11330
uc001awj.1	CTRC	11330
uc001awk.3	CELA2A	63036
uc001awl.3	CELA2B	51032
uc001aws.4	DNAJC16	23341
uc001awt.4	DNAJC16	23341
uc001awr.2	DNAJC16	23341
uc001awu.3	DNAJC16	23341
uc001awx.2	DDI2	84301
uc010obn.2	RSC1A1	6248
uc009voj.2	RSC1A1	84301
uc001aww.3	DDI2	84301
uc001awz.3	DQ573015	n/a
uc010obo.2	PLEKHM2	23207
uc031tqp.1	JC172092	n/a
uc001axb.1	SLC25A34	284723
uc001axc.4	TMEM82	388595
uc001axe.1	FBLIM1	54751
uc001axg.1	FBLIM1	54751
uc001axi.1	FBLIM1	54751
uc001axd.1	FBLIM1	54751
uc001axh.1	FBLIM1	54751
uc001axk.1	SPEN	23013
uc010obp.1	SPEN	23013
uc031tqq.1	MIR5096	100616427
uc001axn.3	C1orf64	149563
uc001axu.3	CLCNKA	1187
uc001axv.3	CLCNKA	1187
uc010obw.2	CLCNKA	1187
uc001axx.5	CLCNKB	1188
uc001axy.5	CLCNKB	1188
uc001axt.3	CLCNKA	1187
uc010oby.1	CLCNKA	1187
uc010obx.1	CLCNKA	1187
uc021ogl.1	CLCNKB	1188
uc001aym.5	SZRD1	26099
uc031plh.1	SZRD1	26099
uc001ayi.5	SZRD1	26099
uc001ayk.5	SZRD1	26099
uc010ocb.2	SZRD1	26099
uc021ogn.1	AL832937	n/a
uc001ayo.3	NECAP2	55707
uc010ocd.2	NECAP2	55707
uc001ayq.3	NECAP2	55707
uc031tqs.1	NECAP2	55707
uc031tqv.1	AX747988	n/a
uc021ogu.1	MIR3675	100500876
uc010och.2	MST1P2	11209
uc001azm.4	MST1P2	11209
uc001azk.2	MST1P2	11209
uc009vow.2	MST1P2	11209
uc010ocg.1	MST1P2	11209
uc010oci.1	MST1P2	11209
uc031tqx.1	FAM231A	729574
uc021ogy.1	MIR3675	100500876
uc001azt.2	CROCC	9696
uc001azu.2	CROCC	9696
uc009voz.1	CROCC	9696
uc009voy.1	CROCC	9696
uc001azv.2	CROCC	9696
uc031tra.1	RNVU1-18	26863
uc021ohe.2	DQ590548	n/a
uc031trd.1	RNVU1-18	26863
uc001bah.1	PADI1	29943
uc010oco.1	PADI1	29943
uc010ocp.1	PADI1	29943
uc010ocq.1	PADI1	29943
uc009vpb.1	PADI1	29943
uc001bai.3	PADI3	51702
uc031tre.1	MIR3972	100616188
uc001baj.2	PADI4	23569
uc009vpc.2	PADI4	23569
uc031trf.1	PADI6	353238
uc001ban.3	ARHGEF10L	55160
uc001bao.3	ARHGEF10L	55160
uc001bap.3	ARHGEF10L	55160
uc009vpe.1	ARHGEF10L	55160
uc001baq.3	ARHGEF10L	55160
uc010ocs.2	ARHGEF10L	55160
uc001bar.3	ARHGEF10L	55160
uc009vpf.3	ARHGEF10L	55160
uc010ocr.1	ARHGEF10L	55160
uc001bas.3	ARHGEF10L	55160
uc001bat.3	ACTL8	81569
uc001bau.2	IGSF21	84966
uc001bav.2	IGSF21	84966
uc031tri.1	DQ571824	n/a
uc001baw.1	AX747631	n/a
uc001bax.3	KLHDC7A	127707
uc009vpg.3	KLHDC7A	n/a
uc031trj.1	JB620909	n/a
uc010oct.2	PAX7	5081
uc001bay.3	PAX7	5081
uc001baz.3	PAX7	5081
uc001bbs.3	MRTO4	51154
uc021ohq.1	PQLC2	54896
uc001bby.3	PQLC2	54896
uc001bbz.3	PQLC2	54896
uc001bcb.3	PQLC2	54896
uc001bca.3	PQLC2	54896
uc021ohw.1	MINOS1-NBL1	100532736
uc009vpl.2	MINOS1-NBL1	100532736
uc001bck.3	NBL1	4681
uc009vpm.2	NBL1	4681
uc021ohz.1	NBL1	4681
uc021ohy.2	NBL1	4681
uc001bcj.2	NBL1	4681
uc031plj.1	NBL1	4681
uc031pll.1	NBL1	4681
uc031plk.1	NBL1	4681
uc021ohu.1	MINOS1	440574
uc021ohv.1	MINOS1	440574
uc001bch.2	MINOS1	440574
uc001bci.2	MINOS1	440574
uc021oht.1	MINOS1	440574
uc021ohx.2	RPS14P3	644068
uc001bcl.4	HTR6	3362
uc031trn.1	JC172092	n/a
uc001bcs.4	OTUD3	23252
uc031tro.1	DQ596939	n/a
uc001bcy.3	PLA2G5	5322
uc001bcx.3	PLA2G5	5322
uc031trp.1	DQ578390	n/a
uc009vpp.1	PLA2G2F	64600
uc001bdb.3	UBXN10	127733
uc031trr.1	UBXN10	n/a
uc031trs.1	JB620909	n/a
uc009vps.2	VWA5B1	127731
uc010odc.1	VWA5B1	127731
uc001bdd.2	VWA5B1	127731
uc001bde.3	VWA5B1	127731
uc009vpt.2	VWA5B1	127731
uc001bdj.3	FAM43B	163933
uc001bdk.3	CDA	978
uc001bdl.3	CDA	978
uc009vpv.3	CDA	978
uc001bdm.3	PINK1	65018
uc031trt.1	MIR6084	102464833
uc001bdn.3	PINK1	65018
uc031try.1	DQ586320	n/a
uc031tsc.1	DQ588547	n/a
uc031tsd.1	DQ601422	n/a
uc031tse.1	DQ571320	n/a
uc001beo.2	RP5-1071N3.1	100506801
uc031tsg.1	DQ588547	n/a
uc031tsh.1	DQ586320	n/a
uc001beq.1	BC127868	n/a
uc001bes.4	NBPF3	84224
uc001ber.4	NBPF3	84224
uc009vqb.4	NBPF3	84224
uc010odm.3	NBPF3	84224
uc001bet.3	ALPL	249
uc010odo.2	ALPL	249
uc010odp.2	ALPL	249
uc010odn.2	ALPL	249
uc001beu.4	ALPL	249
uc001bfg.1	LDLRAD2	401944
uc001bfh.1	LDLRAD2	401944
uc001bfk.3	CELA3B	23436
uc001bfl.3	CELA3A	10136
uc009vqf.3	CELA3B	23436
uc031tsk.1	LINC00339	29092
uc031tsl.1	LINC00339	29092
uc031tsm.1	LINC00339	29092
uc001bfn.5	LINC00339	29092
uc001bfm.5	LINC00339	29092
uc031tsn.1	LINC00339	29092
uc001bfq.3	CDC42	998
uc001bfp.3	CDC42	998
uc001bfr.3	CDC42	998
uc010odr.2	CDC42	998
uc010ods.2	CDC42	998
uc009vqg.1	CDC42	998
uc009vqh.3	CDC42	998
uc031tso.1	MIR4418	100616433
uc001bft.2	ZBTB40	9923
uc001bfu.2	ZBTB40	9923
uc009vqi.1	ZBTB40	9923
uc001bfv.1	ZBTB40	9923
uc001bfx.1	EPHA8	2046
uc001bfw.3	EPHA8	2046
uc001bfy.3	C1QA	712
uc001bgc.4	C1QC	714
uc001bga.4	C1QC	714
uc001bgd.3	C1QB	713
uc001bge.3	EPHB2	2048
uc001bgf.3	EPHB2	2048
uc009vqj.1	EPHB2	2048
uc010odu.2	EPHB2	2048
uc021oib.1	MIR4684	100616391
uc001bgg.1	AK025975	n/a
uc001bgj.2	KDM1A	23028
uc001bgi.2	KDM1A	23028
uc021oid.1	MIR3115	100422866
uc031tst.1	DQ591044	n/a
uc021oif.3	C1orf213	148898
uc001bgw.3	C1orf213	148898
uc031tsz.1	DQ601422	n/a
uc001bhf.1	AX748204	n/a
uc001bhj.3	MDS2	259283
uc001bhi.3	MDS2	259283
uc031tta.1	DQ591044	n/a
uc001bhl.4	RPL11	6135
uc001bhk.4	RPL11	6135
uc001bho.3	TCEB3	6924
uc001bhq.3	PITHD1	57095
uc010oeb.2	PITHD1	57095
uc001bht.3	LYPLA2	11313
uc021oik.1	MIR378F	100616492
uc031ttd.1	DQ601422	n/a
uc031tte.1	DQ586320	n/a
uc001big.3	PNRC2	55629
uc031ttm.1	DQ571826	n/a
uc031ttr.1	DQ598327	n/a
uc010oei.1	RP11-10N16.2	284632
uc021oiw.1	GRHL3	57822
uc001bix.3	GRHL3	57822
uc021oix.1	GRHL3	57822
uc001biy.3	GRHL3	57822
uc001biz.3	GRHL3	57822
uc001bjh.3	NIPAL3	57185
uc009vrc.3	NIPAL3	57185
uc010oek.2	NIPAL3	57185
uc001bji.3	NIPAL3	57185
uc021oje.1	RCAN3	11123
uc021ojc.1	RCAN3	11123
uc001bjj.3	RCAN3	11123
uc021ojg.1	RCAN3	11123
uc009vre.3	RCAN3	11123
uc021ojd.1	RCAN3	11123
uc021ojf.1	RCAN3	11123
uc009vrd.3	RCAN3	11123
uc009vrf.3	RCAN3	11123
uc009vrg.3	RCAN3	11123
uc001bjk.2	NCMAP	400746
uc031ttv.1	NCMAP	400746
uc001bjm.3	SRRM1	10250
uc010oel.2	SRRM1	10250
uc009vrh.1	SRRM1	10250
uc009vri.1	SRRM1	10250
uc010oem.1	SRRM1	10250
uc001bjo.2	CLIC4	25932
uc031ttw.1	CLIC4	25932
uc001bjp.1	CLIC4	25932
uc021ojh.1	Z24749	n/a
uc031ttx.1	DQ588547	n/a
uc031tua.1	MIR4425	100616365
uc001bjz.4	RHD	6007
uc009vrm.4	RHD	6007
uc001bkb.4	RHD	6007
uc001bka.4	RHD	6007
uc009vrn.4	RHD	6007
uc001bkc.4	RHD	6007
uc009vro.4	RHD	6007
uc009vrp.4	RHD	6007
uc001bke.3	TMEM50A	23585
uc010oeq.2	TMEM50A	23585
uc009vrr.3	TMEM50A	23585
uc009vrs.3	TMEM50A	23585
uc001bkk.4	TMEM57	55219
uc009vru.4	TMEM57	55219
uc009vrv.4	TMEM57	55219
uc009vrt.3	TMEM57	55219
uc001bkl.4	LDLRAP1	26119
uc009vrw.3	LDLRAP1	26119
uc009vrx.3	LDLRAP1	26119
uc031tue.1	DQ586451	n/a
uc031tuf.1	MAN1C1	57134
uc001bkm.3	MAN1C1	57134
uc009vry.2	MAN1C1	57134
uc031tug.1	DQ571825	n/a
uc021ojk.1	SEPN1	57190
uc021ojl.1	SEPN1	57190
uc001bkq.4	MTFR1L	56181
uc001bkr.4	MTFR1L	56181
uc001bkt.4	MTFR1L	56181
uc001bks.4	MTFR1L	56181
uc010oet.2	MTFR1L	56181
uc009vrz.3	MTFR1L	56181
uc001bku.4	MTFR1L	56181
uc001bkv.4	MTFR1L	56181
uc001blf.3	EXTL1	2134
uc001blj.4	PDIK1L	149420
uc009vsb.3	PDIK1L	149420
uc010oew.2	PDIK1L	149420
uc001blk.3	FAM110D	79927
uc001bll.4	ZNF593	51042
uc001blm.4	CNKSR1	10256
uc009vse.3	CNKSR1	10256
uc001bln.4	CNKSR1	10256
uc009vsd.3	CNKSR1	10256
uc010oex.1	CNKSR1	10256
uc010oez.2	CATSPER4	378807
uc009vsf.3	CATSPER4	378807
uc010oey.1	CATSPER4	378807
uc001blq.3	BC030768	101928303
uc001bls.2	CEP85	64793
uc010ofa.2	CEP85	64793
uc001blt.2	CEP85	64793
uc001blr.4	CEP85	64793
uc001blu.3	SH3BGRL3	83442
uc001bmc.3	CD52	1043
uc009vsg.1	CD52	1043
uc001bmj.3	LIN28A	79727
uc001bmi.1	LIN28A	79727
uc001bmk.3	DHDDS	79947
uc001bml.3	DHDDS	79947
uc001bmn.3	DHDDS	79947
uc010ofd.2	DHDDS	79947
uc001bmm.3	DHDDS	79947
uc001bmp.4	HMGN2	3151
uc001bmr.1	RPS6KA1	6195
uc001bms.1	RPS6KA1	6195
uc009vsl.1	RPS6KA1	6195
uc010ofe.1	RPS6KA1	6195
uc010off.1	RPS6KA1	6195
uc021ojp.1	MIR1976	100302190
uc031tul.1	DQ601422	n/a
uc031tum.1	DQ586320	n/a
uc001bmu.1	ARID1A	8289
uc001bmv.1	ARID1A	8289
uc001bmt.1	ARID1A	8289
uc001bmw.1	ARID1A	8289
uc001bmx.1	ARID1A	8289
uc009vsm.1	ARID1A	8289
uc009vsn.1	ARID1A	8289
uc001bmz.3	PIGV	55650
uc001bna.3	PIGV	55650
uc010ofg.2	PIGV	55650
uc031tuo.1	DQ598327	n/a
uc031tup.1	DQ588547	n/a
uc001bnb.3	ZDHHC18	84243
uc010ofh.1	ZDHHC18	84243
uc001bnc.1	SFN	2810
uc001bng.2	NUDC	10726
