ucsc_gene	entrez_gene
uc001bof.2	10163
uc001bom.3	2268
uc001bon.1	2537
uc001bor.3	199870
uc001bou.4	23673
uc001bov.2	5511
uc001bpc.4	9473
uc001bpe.1	6118
uc001bpg.3	27293
uc001bph.1	55113
uc001bpi.2	2140
uc001bpl.3	5724
uc001bpn.3	22826
uc001bpq.3	93974
uc001bps.3	83667
uc001bpw.3	65979
uc001bqf.2	1104
uc001bqi.3	54952
uc001bqv.3	115273
uc001bqy.3	6883
uc001bqz.3	10691
uc001brf.1	4985
uc001brm.2	2035
uc001brn.2	399474
uc001bro.3	6429
uc001brq.1	51102
uc001bru.3	10076
uc001brz.3	4146
uc001bsc.2	7805
uc001bse.2	9672
uc001bsh.1	9698
uc001bso.3	9410
uc001bsp.1	51538
uc001bss.1	2170
uc001bst.3	347735
uc001bta.3	64129
uc001bth.2	553115
uc001btk.1	1307
uc001btn.3	576
uc001bts.1	90853
uc001bty.2	8073
uc001bub.3	10657
uc001bug.3	23633
uc001bui.3	200081
uc001bul.1	79140
uc001bun.2	149069
uc001buq.4	56063
uc001buw.3	84734
uc001buy.3	3932
uc001bvb.1	3065
uc001bvd.3	65108
uc001bvf.3	81629
uc001bvh.4	55108
uc001bvl.4	728116
uc001bvn.3	653121
uc001bvp.3	339487
uc001bvt.2	81493
uc001bvu.1	57648
uc001bvy.1	8565
uc001bwc.3	64766
uc001bwg.3	252995
uc001bwi.1	113452
uc001bwp.2	204
uc001bwr.3	113451
uc001bxb.3	55223
uc001bxc.1	149076
uc001bxg.1	1912
uc001bxj.4	7579
uc001bxm.1	114784
uc001bxp.3	127540
uc001bxt.3	84970
uc001bxu.3	2709
uc001bxv.1	127534
uc001bxy.3	2707
uc001bya.3	2701
uc001byb.3	113444
uc001byc.3	58512
uc001bye.3	100506144
uc001byh.3	9204
uc001bym.3	79830
uc001bys.3	6421
uc001byt.3	9202
uc001byx.3	79932
uc001bza.3	23154
uc001bzf.2	5690
uc001bzh.1	127703
uc001bzi.3	63967
uc001bzp.3	192669
uc001bzr.3	27285
uc001bzt.3	54936
uc001bzv.2	1296
uc001bzx.3	27095
uc001bzz.3	55700
uc001cae.4	9967
uc001caj.1	55194
uc001cak.1	83931
uc001cao.1	84967
uc001caq.3	127700
uc001cas.2	64960
uc001caw.2	1441
uc001caz.2	2899
uc001cbb.4	80149
uc001cbe.1	64769
uc001cbi.3	79753
uc001cbj.3	7802
uc001cbk.3	29889
uc001cbm.2	284654
uc001cbp.3	54955
uc001cbr.3	55143
uc001cby.2	149175
uc001cca.1	79693
uc001ccb.1	127687
uc001ccd.2	127687
uc001cce.1	4520
uc001ccg.1	3633
uc001cci.3	10946
uc001cck.3	2275
uc001ccn.4	51118
uc001ccq.2	64121
uc001ccs.3	26292
uc001ccu.1	54933
uc001ccw.3	79647
uc001ccy.3	4725
uc001cdi.3	353500
uc001cdl.2	8761
uc001cdp.3	26508
uc001cdq.1	84618
uc001cdr.3	51440
uc001cdw.3	10450
uc001cdz.1	656
uc001cer.2	4610
uc001ceu.3	84879
uc001cey.4	10487
uc001cfb.2	5538
uc001cfc.4	6018
uc001cfe.2	127391
uc001cfg.3	10269
uc001cfh.1	1298
uc001cfj.3	64744
uc001cfn.2	65243
uc001cfo.3	339559
uc001cfp.3	64789
uc001cft.2	127396
uc001cfu.1	9783
uc001cfx.4	4802
uc001cgh.2	9132
uc001cgj.3	163732
uc001cgk.4	1503
uc001cgm.2	200172
uc001cgs.3	22955
uc001cgx.3	1907
uc001cha.4	59269
uc001chc.1	2981
uc001chd.1	2980
uc001chf.3	22887
uc001chi.2	284716
uc001chj.3	84217
uc001chl.3	79717
uc001chq.3	10465
uc001chs.3	4904
uc001cht.1	149461
uc001chx.4	64175
uc001cia.4	79078
uc001cib.2	374969
uc001cie.1	114625
uc001cig.3	51058
uc001cik.2	6513
uc001cit.4	149466
uc001ciu.3	7075
uc001ciw.3	4352
uc001cix.3	991
uc001cjb.3	64834
uc001cje.1	112950
uc001cjk.2	23334
uc001cjo.3	81888
uc001cjr.3	5792
uc001cjx.3	9682
uc001ckb.3	6487
uc001ckt.3	9048
uc001ckx.3	9670
uc001ckz.3	1802
uc001cld.3	533
uc001clj.3	149473
uc001cll.3	6536
uc001clp.3	128209
uc001clq.1	55929
uc001clt.3	79033
uc001clv.1	55182
uc001cmc.3	79639
uc001cmf.2	339541
uc001cmg.4	11004
uc001cmm.3	266675
uc001cmn.3	1263
uc001cmp.3	343521
uc001cmt.2	8891
uc001cna.2	7389
uc001cnd.2	57643
uc001cne.3	84842
uc001cnh.3	4595
uc001cns.1	10420
uc001cnw.3	126661
uc001coe.3	10327
uc001coi.2	4678
uc001coq.3	60313
uc001cor.1	51249
uc001cou.3	3652
uc001cov.3	23139
uc001cpb.4	8503
uc001cpd.3	10103
uc001cpg.3	55624
uc001cpn.3	10489
uc001cpp.3	7388
uc001cpr.1	387338
uc001cpu.2	2166
uc001cpx.3	127343
uc001cqb.3	8569
uc001cqe.4	148932
uc001cqh.3	64756
uc001cqj.3	374973
uc001cqk.4	9813
uc001cqn.4	1580
uc001cqp.4	1579
uc001cqt.3	260293
uc001cqw.3	10158
uc001cqx.2	6886
uc001crd.1	6491
uc001cri.3	51727
uc001crk.3	2301
uc001crm.3	2306
uc001cro.2	200010
uc001crr.2	54558
uc001cru.2	84871
uc001crx.4	79656
uc001csb.2	1996
uc001cse.1	11124
uc001csg.3	1031
uc001csh.3	284546
uc001csi.4	26994
uc001csq.1	2060
uc001csu.3	114883
uc001ctc.4	4898
uc001cth.3	5865
uc001cti.3	51060
uc001ctj.1	112970
uc001ctk.3	91408
uc001cto.3	9372
uc001ctq.2	200014
uc001ctu.3	4998
uc001ctw.4	84950
uc001cty.2	23318
uc001cue.3	2882
uc001cuf.3	348378
uc001cui.2	65260
uc001cuj.3	79699
uc001cuk.2	440590
uc001cup.4	55268
uc001cur.2	6342
uc001cuy.3	6512
uc001cvb.4	1376
uc001cvd.3	54987
uc001cvf.2	4116
uc001cvi.2	7804
uc001cvq.1	63948
uc001cvr.1	148979
